Existing Site ID,ENODEB_ID,Sector,Cell Id,TAC_DEC,PCI,MCC,MNC,ECGI,LTE_Band,earfcnDl,earfcnUL,Bandwdith,Lat,Long,E-TILT,M-TILT,Azimuth,Antenna ht,Tower ht,SITE TYPE
BAN2147,912744,1,21,54142,239,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01965,77.50037,4,1,320,25M,27M,RTT
BAN2147,912744,2,22,54142,228,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01965,77.50037,4,1,120,25M,27M,RTT
BAN2147,912744,3,23,54142,238,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01965,77.50037,4,1,260,25M,27M,RTT
BAN8988,912802,1,21,15057,502,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01528,77.506944,5,1,30,20M,25M,RTT
BAN8988,912802,2,22,15057,503,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01528,77.506944,5,1,90,20M,25M,RTT
BAN8988,912802,3,23,15057,501,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01528,77.506944,4,1,230,20M,25M,RTT
BAN4303,912769,1,21,54142,3,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01585,77.50153,4,1,30,22 M,30M,RTT
BAN4303,912769,2,22,54142,5,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01585,77.50153,4,0,120,22 M,30M,RTT
BAN4303,912769,3,23,54142,19,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01585,77.50153,4,1,230,22 M,30M,RTT
BAN6776,912772,1,21,54142,173,404,86,4.04862E+13,3,1405,19405,10 MHz,13.02043,77.50517,3,1,350,20M,20M,RTP
BAN6776,912772,2,22,54142,159,404,86,4.04862E+13,3,1405,19405,10 MHz,13.02043,77.50517,3,1,90,20M,20M,RTP
BAN6776,912772,3,23,54142,160,404,86,4.04862E+13,3,1405,19405,10 MHz,13.02043,77.50517,5,1,260,20M,20M,RTP
BAN7815,912800,1,21,15057,161,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01717,77.50426,4,0,0,25M,25M,RTT
BAN7815,912800,2,22,15057,162,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01717,77.50426,4,0,120,25M,25M,RTT
BAN7815,912800,3,23,15057,163,404,86,4.04862E+13,3,1405,19405,10 MHz,13.01717,77.50426,5,0,260,25M,25M,RTT
